Date,Open,High,Low,Close,Volume,% Change,MM_7,MM_15,Delta_MM,Raised,Next Raised
2024-06-03 00:00:00-03:00,308.67999267578125,310.3699951171875,305.20001220703125,308.0,240253,-0.06489688485050715,305.5971418108259,303.59800008138023,1.9991417294456824,0,1.0
2024-06-04 00:00:00-03:00,308.54998779296875,312.0,308.20001220703125,311.29998779296875,131856,1.0714246081067413,306.88999720982144,304.4113321940104,2.478665015811032,1,1.0
2024-06-05 00:00:00-03:00,312.1300048828125,315.8299865722656,311.5,315.5799865722656,144749,1.3748791992061804,308.46571132114957,305.4966654459635,2.9690458751860547,1,0.0
2024-06-06 00:00:00-03:00,315.3999938964844,315.3999938964844,311.79998779296875,312.8999938964844,96964,-0.8492277044848451,309.4342825753348,306.14333089192706,3.290951683407741,0,1.0
2024-06-07 00:00:00-03:00,313.6300048828125,317.3999938964844,313.30999755859375,317.0299987792969,152545,1.3199121007905212,311.2085702078683,307.1019978841146,4.10657232375371,1,1.0
2024-06-10 00:00:00-03:00,317.0400085449219,320.3699951171875,317.0400085449219,320.0,109838,0.9368202479698828,313.2871398925781,308.3593302408854,4.927809651692712,1,1.0
2024-06-11 00:00:00-03:00,318.7799987792969,320.5199890136719,316.9200134277344,320.5199890136719,165207,0.16249656677245206,315.04713657924106,309.61399536132814,5.433141217912919,1,1.0
2024-06-12 00:00:00-03:00,321.989990234375,328.1499938964844,321.9800109863281,326.0,454013,1.7097251884949927,317.61856515066967,311.1413289388021,6.4772362118675915,1,0.0
2024-06-13 00:00:00-03:00,326.5400085449219,327.2099914550781,323.010009765625,324.70001220703125,209503,-0.39876926164685855,319.53285435267856,312.4806640625,7.052190290178544,0,1.0
2024-06-14 00:00:00-03:00,323.75,325.3800048828125,322.30999755859375,325.3800048828125,105553,0.20942182020851074,320.93285696847096,314.0226643880208,6.910192580450143,1,1.0
2024-06-17 00:00:00-03:00,325.75,331.2300109863281,325.5899963378906,330.1000061035156,278068,1.450611945993141,323.39000156947543,315.7259989420573,7.664002627418142,1,1.0
2024-06-18 00:00:00-03:00,330.3699951171875,332.0,328.8999938964844,331.92999267578125,166989,0.554373383347273,325.51857212611606,317.44666544596356,8.071906680152495,1,1.0
2024-06-19 00:00:00-03:00,332.2900085449219,337.0,332.2900085449219,332.75,147579,0.24704225056868534,327.34000069754467,319.322666422526,8.01733427501864,1,0.0
2024-06-20 00:00:00-03:00,331.4800109863281,333.44000244140625,330.42999267578125,332.67999267578125,156947,-0.02103901554282306,329.07714407784596,321.13799845377605,7.9391456240699085,0,0.0
2024-06-21 00:00:00-03:00,331.989990234375,332.489990234375,329.6700134277344,330.8500061035156,378907,-0.5500741290592304,329.77000209263394,322.647998046875,7.122004045758956,0,0.0
2024-06-24 00:00:00-03:00,329.95001220703125,329.9800109863281,327.0,327.0,193386,-1.163671159888402,330.09857177734375,323.91466471354164,6.18390706380211,0,1.0
